Title,Price,Location,Contact
Appartement neuf à vendre aux almadies,175 000 000 F Cfa,"Almadies, Dakar",775597743
Villa à louer aux almadies,3 000 000 F Cfa,"Almadies, Dakar",775597743
Appartement neuf à louer almadies,1 600 000 F Cfa,"Almadies, Dakar",775597743
Appartement F2 meublé à louer au point E,1 100 000 F Cfa,"Point-e, Dakar","765295837, 778730911, 768092325"
NOUVELLE RESIDENCE FANN RESIDENCE,3 000 000 F Cfa,"Fann, Dakar",786391616
Terrain viabilisé à Ndiakhirate payable par tranche,13 500 000 F Cfa,"Ndiakhirate, Dakar",778751779
Appartement spacieux à Sipres,450 000 F Cfa,"VDN, Dakar",777488842
Appartement à Ngor Almadies (derrière cosmetika),500 000 F Cfa,"Ngor, Dakar",777488842
Bel appartement à Nord Foire (derrière la BOA),325 000 F Cfa,"Nord foire, Dakar",777488842
Appartement F4 + dépendance domestique à louer au point E,1 550 000 F Cfa,"Point-e, Dakar","765295837, 778730911, 768092325"
Terrain Angle titre foncier à la cité belle vue à Niague,13 000 000 F Cfa,"Niague, Dakar","774597459, 763922308"
Terrain à vendre à MBORO,2 500 000 F Cfa,"Mboro, Thiès","772707901, 771349834, 778993924"
Lots de terrains de 500m2 à vendre pour usage agricole,899 000 F Cfa,"Mboro, Thiès","772707901, 771349834, 778993924"
Hectare à vendre à Mboro,2 750 000 F Cfa,"Mboro, Thiès","772707901, 771349834, 778993924"
"Terrain à vendre à Mboro , cité Mariame",3 500 000 F Cfa,"Mboro, Thiès","772707901, 771349834, 778993924"
Studio meublé aux Almadies,25 000 F Cfa,"Almadies, Dakar",771579168
Terrain de 302 m2 à vendre à Saly,18 000 000 F Cfa,"Saly Portudal, Thiès",784468051
Appartement luxueux avec piscine au Virage Aquanique,130 000 F Cfa,"Virage, Dakar",772314838
Studio Luxe et confort,29 000 F Cfa,"Yoff, Dakar","775914949, 775914949"
Appartement 4 chambres salon proche rte King Fahd Almadies,2 700 000 F Cfa,"Almadies, Dakar",773426785
Chambre meublée aux Maristes,12 000 F Cfa,"Hann maristes, Dakar","784583030, 785850692, 338323899"
CHAMBRE SALLE DE BAIN ALMADIES NGOR VIDE & MEUBLE,90 000 F Cfa,"Ngor, Dakar",781862468
Terrain à vendre à Malicounda,3 411 500 F Cfa,"Malicounda, Thiès",763087796
Terrains à vendre à Malicounda,5 117 000 F Cfa,"Malicounda, Thiès",763087796
Appartement à louer à Sacré Coeur,20 000 F Cfa,"Mermoz, Dakar",762620004
Villa F4 en vente à Ndiakhirate TF,45 000 000 F Cfa,"Ndiakhirate, Dakar","779157815, 781915071"
Terrains à vendre à la sortie 12 payable 36mois,4 500 000 F Cfa,"Grand-Dakar, Dakar","779157815, 781915071"
Superbes F3 à Louer aux Almadies,750 000 F Cfa,"Almadies, Dakar","772174185, 770987576"
Terrain de 302 m2 à vendre à Saly,18 000 000 F Cfa,"Saly Portudal, Thiès",784468051
Appartement à louer aux mamelles,250 000 F Cfa,"Mamelles, Dakar","781895740, 772994071"
Magnifique F4 à Louer à Ouest Foire,400 000 F Cfa,"Ouest foire, Dakar","772174185, 770987576"
Superbe F3 à Louer Bourguiba,600 000 F Cfa,"Avenue Bourguiba, Dakar","772174185, 770987576"
Sublime Villa à Louer à Oukam,600 000 F Cfa,"Ouakam, Dakar","772174185, 770987576"
Terrains à Vendre à Zac Mbao,38 000 000 F Cfa,"Zac Mbao, Dakar","772174185, 770987576"
Bel appartement f3 au sacré coeur,400 000 F Cfa,"Sacré-cœur, Dakar",778751779
Chambres meublées à louer,15 000 F Cfa,"Ngor, Dakar","782940505, 774413500"
Superbes Studios et F3 à Louer à Ouest Foire,250 000 F Cfa,"Ouest foire, Dakar","772174185, 770987576"
Résidence meublée à Ngor Almadie,20 000 F Cfa,"Almadies, Dakar","773780262, 761472486, 761472486"
Sublime F4 à Louer à Nord Foire,375 000 F Cfa,"Nord foire, Dakar","772174185, 770987576"
F3 à Louer à Ngor Almadies à la zone de recasement,400 000 F Cfa,"Almadies, Dakar","772174185, 770987576"
